                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.06063,                    0.1,                      1,                    nan,                    0.1,                    0.1,                    0.1
                      1,                0.03153,                      1,                      1,                0.00299,                    0.1,                    0.1,                    0.1
                      2,                0.02052,                    0.9,                      1,                0.00582,                0.09901,                0.09901,                0.09901
                      3,                0.01833,                    0.9,                      1,                0.00597,                0.09802,                0.09802,                0.09802
                      4,                0.01721,                    0.9,                      1,                0.00444,                0.09703,                0.09703,                0.09703
                      5,                0.01753,                    0.9,                      1,                0.00508,                0.09604,                0.09604,                0.09604
                      6,                 0.0179,                    0.9,                      1,                0.00457,                0.09505,                0.09505,                0.09505
                      7,                0.01722,                    0.9,                      1,                0.00676,                0.09406,                0.09406,                0.09406
                      8,                0.01692,                    0.9,                      1,                0.00553,                0.09307,                0.09307,                0.09307
                      9,                0.01719,                    0.9,                      1,                0.00673,                0.09208,                0.09208,                0.09208
                     10,                 0.0162,                    0.9,                      1,                0.00515,                0.09109,                0.09109,                0.09109
                     11,                  0.017,                    0.9,                      1,                0.00585,                 0.0901,                 0.0901,                 0.0901
                     12,                 0.0158,                    0.9,                      1,                0.00587,                0.08911,                0.08911,                0.08911
                     13,                0.01538,                    0.9,                      1,                 0.0049,                0.08812,                0.08812,                0.08812
                     14,                0.01544,                    0.9,                      1,                0.00402,                0.08713,                0.08713,                0.08713
                     15,                 0.0156,                    0.9,                      1,                0.00799,                0.08614,                0.08614,                0.08614
                     16,                0.01733,                    0.9,                      1,                  0.005,                0.08515,                0.08515,                0.08515
                     17,                0.01555,                    0.8,                      1,                0.01019,                0.08416,                0.08416,                0.08416
                     18,                0.01635,                    0.9,                      1,                0.00604,                0.08317,                0.08317,                0.08317
                     19,                0.01578,                    0.9,                      1,                0.00655,                0.08218,                0.08218,                0.08218
                     20,                0.01574,                    0.9,                      1,                0.00765,                0.08119,                0.08119,                0.08119
                     21,                0.01534,                    0.9,                      1,                0.00623,                 0.0802,                 0.0802,                 0.0802
                     22,                 0.0148,                    0.8,                      1,                0.01105,                0.07921,                0.07921,                0.07921
                     23,                 0.0147,                    0.9,                      1,                 0.0059,                0.07822,                0.07822,                0.07822
                     24,                0.01555,                    0.9,                      1,                0.00834,                0.07723,                0.07723,                0.07723
                     25,                0.01495,                    0.9,                      1,                0.00797,                0.07624,                0.07624,                0.07624
                     26,                0.01516,                    0.9,                      1,                0.00679,                0.07525,                0.07525,                0.07525
                     27,                0.01504,                    0.9,                      1,                0.00829,                0.07426,                0.07426,                0.07426
                     28,                0.01413,                    0.9,                      1,                0.00547,                0.07327,                0.07327,                0.07327
                     29,                0.01364,                    0.9,                      1,                0.00465,                0.07228,                0.07228,                0.07228
                     30,                0.01517,                    0.9,                      1,                0.00627,                0.07129,                0.07129,                0.07129
                     31,                0.01442,                    0.9,                      1,                0.00742,                 0.0703,                 0.0703,                 0.0703
                     32,                0.01549,                    0.9,                      1,                0.00683,                0.06931,                0.06931,                0.06931
                     33,                0.01355,                    0.9,                      1,                0.00714,                0.06832,                0.06832,                0.06832
                     34,                0.01379,                      1,                      1,                0.00357,                0.06733,                0.06733,                0.06733
                     35,                0.01394,                    0.9,                      1,                0.00396,                0.06634,                0.06634,                0.06634
                     36,                0.01338,                      1,                      1,                0.00414,                0.06535,                0.06535,                0.06535
                     37,                0.01318,                      1,                      1,                0.00261,                0.06436,                0.06436,                0.06436
                     38,                0.01391,                    0.9,                      1,                0.00431,                0.06337,                0.06337,                0.06337
                     39,                0.01297,                    0.9,                      1,                0.00365,                0.06238,                0.06238,                0.06238
                     40,                0.01243,                    0.9,                      1,                 0.0057,                0.06139,                0.06139,                0.06139
                     41,                0.01265,                    0.9,                      1,                0.00604,                 0.0604,                 0.0604,                 0.0604
                     42,                0.01462,                    0.9,                      1,                 0.0059,                0.05941,                0.05941,                0.05941
                     43,                0.01303,                    0.9,                      1,                0.00948,                0.05842,                0.05842,                0.05842
                     44,                 0.0132,                    0.9,                      1,                0.00498,                0.05743,                0.05743,                0.05743
                     45,                0.01243,                    0.9,                      1,                0.00535,                0.05644,                0.05644,                0.05644
                     46,                0.01256,                    0.9,                      1,                0.00705,                0.05545,                0.05545,                0.05545
                     47,                0.01308,                    0.9,                      1,                0.00528,                0.05446,                0.05446,                0.05446
                     48,                0.01258,                    0.9,                      1,                0.00763,                0.05347,                0.05347,                0.05347
                     49,                0.01258,                    0.9,                      1,                0.00513,                0.05248,                0.05248,                0.05248
                     50,                0.01242,                    0.9,                      1,                 0.0049,                0.05149,                0.05149,                0.05149
                     51,                0.01172,                    0.9,                      1,                0.00505,                 0.0505,                 0.0505,                 0.0505
                     52,                0.01218,                    0.9,                      1,                0.00585,                0.04951,                0.04951,                0.04951
